statement,entity,year,line_item,label_key,metric,value_rm,source_sheet
Balance sheet,Company,2017,total equity,total equity,total_equity,-18616.0,Balance Sheet
Balance sheet,Company,2017,Total equity and liabilities,total equity and liabilities,total_equity_and_liabilities,14570.0,Balance Sheet
Balance sheet,Company,2017,Total liabilities,total liabilities,total_liabilities,33186.0,Balance Sheet
Balance sheet,Company,2017,total non-current assets,total non-current assets,non_current_assets,6317.0,Balance Sheet
Balance sheet,Company,2017,total non-current liabilities,total non-current liabilities,non_current_liabilities,11156.0,Balance Sheet
Balance sheet,Company,2017,Trade and other payables,trade and other payables,payables,7723.0,Balance Sheet
Balance sheet,Company,2017,Trade and other receivables,trade and other receivables,receivables,3919.0,Balance Sheet
Balance sheet,Company,2018,Accumulated Loss,accumulated loss,accumulated_loss,-36925.0,Balance Sheet
Balance sheet,Company,2018,Amounts payable to subsidiaries,amounts payable to subsidiaries,,488.0,Balance Sheet
Balance sheet,Company,2018,Bank overdraft,bank overdraft,bank_overdraft,828.0,Balance Sheet
Balance sheet,Company,2018,Cash and cash equivalents,cash and cash equivalents,cash,1325.0,Balance Sheet
Balance sheet,Company,2018,Aircraft and other deposits,current assets: aircraft and other deposits,,315.0,Balance Sheet
Balance sheet,Company,2018,Derivatives,current assets: derivatives,,2.0,Balance Sheet
Balance sheet,Company,2018,Deferred revenue on ticket sales,current liabilities: deferred revenue on ticket sales,deferred_revenue_current,3193.0,Balance Sheet
Balance sheet,Company,2018,Provisions,current liabilities: provisions,provisions_current,928.0,Balance Sheet
Balance sheet,Company,2018,Current portion of long–term loans,current portion of long-term loans,current_portion_loans,7659.0,Balance Sheet
Balance sheet,Company,2018,Intangible assets,intangible assets,intangibles,81.0,Balance Sheet
Balance sheet,Company,2018,Inventories,inventories,inventories,100.0,Balance Sheet
Balance sheet,Company,2018,Investments,investments,,35.0,Balance Sheet
Balance sheet,Company,2018,Long–term loans,long-term loans,long_term_loans,785.0,Balance Sheet
Balance sheet,Company,2018,"Non–current assets classified as held–for–sale
and assets of disposal groups",non-current assets classified as held-for-sale and assets of disposal groups,,99.0,Balance Sheet
Balance sheet,Company,2018,Aircraft and other deposits,non-current assets: aircraft and other deposits,,2040.0,Balance Sheet
Balance sheet,Company,2018,Investments in subsidiaries,non-current assets: investments in subsidiaries,,2134.0,Balance Sheet
Balance sheet,Company,2018,Deferred revenue on ticket sales,non-current liabilities: deferred revenue on ticket sales,deferred_revenue_non_current,568.0,Balance Sheet
Balance sheet,Company,2018,Provisions,non-current liabilities: provisions,provisions_non_current,2693.0,Balance Sheet
Balance sheet,Company,2018,Other long–term liabilities,other long-term liabilities,,143.0,Balance Sheet
Balance sheet,Company,2018,"Property, aircraft and equipment","property, aircraft and equipment",ppe,2806.0,Balance Sheet
Balance sheet,Company,2018,Reserves,reserves,reserves,453.0,Balance Sheet
Balance sheet,Company,2018,Retirement benefit asset,retirement benefit asset,,22.0,Balance Sheet
Balance sheet,Company,2018,Retirement benefit obligation,retirement benefit obligation,,113.0,Balance Sheet
Balance sheet,Company,2018,Share capital,share capital,share_capital,13126.0,Balance Sheet
Balance sheet,Company,2018,Shareholder contribution,shareholder contribution,shareholder_contribution,10000.0,Balance Sheet
Balance sheet,Company,2018,Total assets,total assets,total_assets,11825.0,Balance Sheet
Balance sheet,Company,2018,total current assets,total current assets,current_assets,4643.0,Balance Sheet
Balance sheet,Company,2018,total current liabilities,total current liabilities,current_liabilities,20869.0,Balance Sheet
Balance sheet,Company,2018,total equity,total equity,total_equity,-13346.0,Balance Sheet
Balance sheet,Company,2018,Total equity and liabilities,total equity and liabilities,total_equity_and_liabilities,11825.0,Balance Sheet
Balance sheet,Company,2018,Total liabilities,total liabilities,total_liabilities,25171.0,Balance Sheet
Balance sheet,Company,2018,total non-current assets,total non-current assets,non_current_assets,7083.0,Balance Sheet
Balance sheet,Company,2018,total non-current liabilities,total non-current liabilities,non_current_liabilities,4302.0,Balance Sheet
Balance sheet,Company,2018,Trade and other payables,trade and other payables,payables,7773.0,Balance Sheet
Balance sheet,Company,2018,Trade and other receivables,trade and other receivables,receivables,2866.0,Balance Sheet
Balance sheet,Company,2019,Accumulated Loss,accumulated loss,accumulated_loss,-42759.0,Balance Sheet
Balance sheet,Company,2019,Amounts payable to subsidiaries,amounts payable to subsidiaries,,81.0,Balance Sheet
Balance sheet,Company,2019,Cash and cash equivalents,cash and cash equivalents,cash,1775.0,Balance Sheet
Balance sheet,Company,2019,Aircraft and other deposits,current assets: aircraft and other deposits,,260.0,Balance Sheet
Balance sheet,Company,2019,Amounts receivable from subsidiaries,current assets: amounts receivable from subsidiaries,,434.0,Balance Sheet
Balance sheet,Company,2019,Deferred revenue on ticket sales,current liabilities: deferred revenue on ticket sales,deferred_revenue_current,3935.0,Balance Sheet
Balance sheet,Company,2019,Provisions,current liabilities: provisions,provisions_current,992.0,Balance Sheet
Balance sheet,Company,2019,Current portion of long–term loans,current portion of long-term loans,current_portion_loans,11901.0,Balance Sheet
Balance sheet,Company,2019,Intangible assets,intangible assets,intangibles,59.0,Balance Sheet
Balance sheet,Company,2019,Inventories,inventories,inventories,72.0,Balance Sheet
Balance sheet,Company,2019,Investments,investments,,35.0,Balance Sheet
Balance sheet,Company,2019,Aircraft and other deposits,non-current assets: aircraft and other deposits,,2587.0,Balance Sheet
Balance sheet,Company,2019,Investments in subsidiaries,non-current assets: investments in subsidiaries,,2134.0,Balance Sheet
Balance sheet,Company,2019,Deferred revenue on ticket sales,non-current liabilities: deferred revenue on ticket sales,deferred_revenue_non_current,469.0,Balance Sheet
Balance sheet,Company,2019,Provisions,non-current liabilities: provisions,provisions_non_current,910.0,Balance Sheet
